postcode,data status,lines < 2mbps,average speed,median speed,maximum speed,super fast available,connections
BS395UE,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA22DX,OK,Y,5.5,6.1,8.2,N,9
BS312QH,OK,N,23.4,20,>=30,Y,13
BS395QD,No Data,N/A,N/A,N/A,N/A,N,0
BA33AP,OK,N,20.7,21.5,22.5,N,5
BA32EJ,OK,N,18.2,18.6,20.2,Y,4
BA35WD,No premises,N/A,N/A,N/A,N/A,N,0
BS312UE,OK,N,23.1,20,>=30,Y,28
BA15HF,OK,N,7.2,8.2,9.7,Y,4
BS311LL,OK,N,24.9,13.8,>=30,Y,7
BS312HR,OK,N,>=30,20.2,>=30,Y,16
BA33QX,OK,N,12.1,13.4,18,Y,15
BA24JD,OK,Y,14.4,9.8,>=30,Y,13
BA17BL,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA32TF,OK,N,13.2,8,>=30,Y,11
BS408PZ,No Data,N/A,N/A,N/A,N/A,N,0
BA26QQ,OK,N,9.5,8.6,16.1,Y,11
BA32XQ,No Data,N/A,N/A,N/A,N/A,Y,0
BA13NX,OK,Y,23.5,7.5,>=30,Y,38
BS395XN,OK,Y,1.8,1.9,3.6,N,13
BA33LB,OK,Y,13.4,9.9,>=30,Y,46
BS394AF,OK,N,7.1,7.6,8.1,N,5
BS312QS,OK,N,>=30,20.5,>=30,Y,6
BA15LH,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA26XL,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BS406EH,OK,N,6.5,6.2,8.1,N,3
BA28EW,OK,Y,8.6,3.8,20,Y,3
BS311JZ,OK,Y,>=30,20,>=30,Y,31
BA20LY,OK,Y,12.8,16.1,22,N,3
BA21RN,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA22PA,OK,N,15.5,13.2,>=30,Y,10
BA33UW,OK,N,16.1,8.1,>=30,Y,9
BA16PF,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA23EU,No Data,N/A,N/A,N/A,N/A,Y,0
BS395UN,OK,Y,3.1,3.1,4.2,N,3
BS395UX,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BA29DS,OK,Y,6.9,1.4,29.1,Y,6
BA26LJ,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA17SY,No Data,N/A,N/A,N/A,N/A,N,0
BA27HD,OK,Y,5.4,5.9,9.1,N,12
