id,uri,title,published,isbn,author
GBA334827,http://bnb.data.bl.uk/id/resource/010733251,The three little pigs,2000,0752539817,Aneurin Rhys
GB7900688,http://bnb.data.bl.uk/id/resource/008113496,Calling Nurse Stewart,1979,0850468280,Marjorie McEvoy
GBA8A7995,http://bnb.data.bl.uk/id/resource/014749928,Mixed mania : recipes for delicious mixed-media creations,2008,1596680849,Debbi Crane
GB8517085,http://bnb.data.bl.uk/id/resource/009443864,Hospital of the heart,1985,0745101879,Ursula Bloom
GBA649592,http://bnb.data.bl.uk/id/resource/013475748,Quite honestly,2006,1405613270,John Mortimer
GBB042834,http://bnb.data.bl.uk/id/resource/015516026,Summer of two wishes,2010,1410421295,Julia London
GBB126142,http://bnb.data.bl.uk/id/resource/014546931,Rapunzel,2007,1407502638,Gaby Goldsack
GB8905891,http://bnb.data.bl.uk/id/resource/008422906,Gun luck,1990,0745196454,Lee Floren
GB8805116,http://bnb.data.bl.uk/id/resource/009444394,Tales of a fourth grade nothing,1988,0745107222,Judy Blume
GB7114827,http://bnb.data.bl.uk/id/resource/010960742,A case for the Baron,1971,0850462037,Anthony Morton
GB96Z8563,http://bnb.data.bl.uk/id/resource/007713002,Heaven here and now,1996,078381447X,Juliet Gray
GB7426708,http://bnb.data.bl.uk/id/resource/010961022,I'll ride beside you,1974,0850465540,Leslie Lance
GB99X6791,http://bnb.data.bl.uk/id/resource/008391936,The lights of London,1999,0754012875,Gilda O'Neill
GB99Y8396,http://bnb.data.bl.uk/id/resource/010764629,Captain Calamity,1999,1840880937,Gaby Goldsack
GB7720568,http://bnb.data.bl.uk/id/resource/010103553,The half-crown house,1977,0859972321,Helen Ashton
GB7711403,http://bnb.data.bl.uk/id/resource/008113375,Death comes laughing,1977,0850466962,Victor Gunn
GB8224229,http://bnb.data.bl.uk/id/resource/008783473,Wife for a penny,1982,0893404527,Anne Hampson
GB95R4398,http://bnb.data.bl.uk/id/resource/007713024,Brand fires on the ridge,1995,0745129331,Ernest Haycox
